date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr,vix_close
2024-04-24,22421.55078125,22476.44921875,22384.0,22402.400390625,235900,53.82,40.92,64.9383,-24.0183,22797.31,22359.13,21920.95,220.4579,10.279999732971191
2024-04-25,22316.900390625,22625.94921875,22305.25,22570.349609375,475000,58.45,56.8264,63.316,-6.4895,22812.39,22382.81,21953.23,227.618,10.729999542236328
2024-04-26,22620.400390625,22620.400390625,22385.55078125,22419.94921875,329900,53.3,56.6434,61.9815,-5.338,22794.61,22403.57,22012.53,228.1346,10.930000305175781
2024-04-29,22475.55078125,22655.80078125,22441.900390625,22643.400390625,292000,59.07,73.6797,64.3211,9.3586,22811.24,22429.56,22047.88,228.6858,12.239999771118164
2024-04-30,22679.650390625,22783.349609375,22568.400390625,22604.849609375,361900,57.75,83.1122,68.0793,15.0329,22829.62,22443.46,22057.3,227.7046,12.869999885559082
2024-05-02,22567.849609375,22710.5,22567.849609375,22648.19921875,445900,58.87,93.0134,73.0661,19.9472,22849.64,22452.77,22055.9,221.6293,13.449999809265137
2024-05-03,22766.349609375,22794.69921875,22348.05078125,22475.849609375,438100,52.87,85.962,75.6453,10.3167,22850.9,22453.9,22056.89,237.7021,14.619999885559082
2024-05-06,22561.599609375,22588.80078125,22409.44921875,22442.69921875,320300,51.78,76.8133,75.8789,0.9344,22851.24,22454.3,22057.36,233.5342,16.600000381469727
2024-05-07,22489.75,22499.05078125,22232.05078125,22302.5,297800,47.33,57.5862,72.2204,-14.6342,22845.15,22443.69,22042.23,235.9246,17.010000228881836
2024-05-08,22231.19921875,22368.650390625,22185.19921875,22302.5,277400,47.33,41.8659,66.1495,-24.2835,22837.94,22433.13,22028.32,232.1765,17.079999923706055
2024-05-09,22224.80078125,22307.75,21932.400390625,21957.5,331300,38.0,1.551,53.2298,-51.6787,22839.01,22397.69,21956.37,242.4032,18.200000762939453
2024-05-10,21990.94921875,22131.30078125,21950.30078125,22055.19921875,265800,41.52,-22.2587,38.1321,-60.3908,22819.06,22368.31,21917.56,238.0172,18.469999313354492
2024-05-13,22027.94921875,22131.650390625,21821.05078125,22104.05078125,278200,43.25,-36.7624,23.1532,-59.9156,22762.62,22335.82,21909.03,243.2017,20.600000381469727
2024-05-14,22112.900390625,22270.05078125,22081.25,22217.849609375,230200,47.17,-38.6288,10.7968,-49.4256,22741.5,22320.75,21900.0,239.3159,20.200000762939453
2024-05-15,22255.599609375,22297.55078125,22151.75,22200.55078125,231900,46.65,-41.0308,0.4313,-41.4621,22740.85,22317.15,21893.45,232.6363,20.270000457763672
2024-05-16,22319.19921875,22432.25,22054.55078125,22403.849609375,368900,53.27,-26.2276,-4.9005,-21.3271,22747.55,22329.95,21912.35,242.9979,20.0
2024-05-17,22415.25,22502.150390625,22345.650390625,22466.099609375,242700,55.11,-9.3649,-5.7934,-3.5715,22743.93,22353.46,21962.99,236.8195,19.799999237060547
2024-05-21,22404.55078125,22591.099609375,22404.55078125,22529.05078125,347600,56.95,8.975,-2.8397,11.8147,22757.85,22372.56,21987.28,233.2287,21.809999465942383
2024-05-22,22576.599609375,22629.5,22483.150390625,22597.80078125,290300,58.93,28.726,3.4734,25.2526,22783.29,22385.63,21987.98,227.0231,21.469999313354492
2024-05-23,22614.099609375,22993.599609375,22577.44921875,22967.650390625,369800,67.58,73.3767,17.4541,55.9226,22890.58,22415.61,21940.65,240.5322,21.3799991607666
2024-05-24,22930.75,23026.400390625,22908.0,22957.099609375,261900,67.15,106.6816,35.2996,71.382,22976.31,22443.35,21910.39,231.8085,21.709999084472656
2024-05-27,23038.94921875,23110.80078125,22871.19921875,22932.44921875,260000,66.08,129.593,54.1583,75.4348,23035.59,22461.45,21887.32,232.3651,23.190000534057617
2024-05-28,22977.150390625,22998.55078125,22858.5,22888.150390625,217900,64.1,142.5329,71.8332,70.6997,23089.26,22484.86,21880.47,225.7712,24.200000762939453
2024-05-29,22762.75,22825.5,22685.44921875,22704.69921875,269900,56.56,136.4124,84.7491,51.6634,23096.32,22487.93,21879.54,224.1234,24.18000030517578
2024-05-30,22617.44921875,22705.75,22417.0,22488.650390625,373400,49.22,112.828,90.3648,22.4631,23088.02,22482.12,21876.22,228.7396,24.18000030517578
2024-05-31,22568.099609375,22653.75,22465.099609375,22530.69921875,572100,50.57,96.4186,91.5756,4.843,23077.63,22476.24,21874.86,225.876,24.600000381469727
2024-06-03,23337.900390625,23338.69921875,23062.30078125,23263.900390625,569400,66.99,140.9525,101.451,39.5015,23212.59,22515.65,21818.7,267.4563,20.940000534057617
2024-06-04,23179.5,23179.5,21281.44921875,21884.5,1006100,40.04,64.1998,94.0007,-29.801,23239.53,22487.74,21735.94,389.956,26.75
2024-06-05,22128.349609375,22670.400390625,21791.94921875,22620.349609375,638500,51.3,62.0345,87.6075,-25.573,23252.37,22503.63,21754.89,424.8485,18.889999389648438
